,STID,depth,Sand,Silt,Clay
0,ACME,03,73.0,19.7,7.2
1,ACME,20,60.4,23.9,15.7
2,ACME,40,51.5,27.1,21.4
3,ACME,55,52.7,25.9,21.5
4,ACME,70,53.3,24.0,22.7
10,ALTU,03,24.1,39.9,36.1
11,ALTU,20,18.1,45.1,36.8
12,ALTU,40,15.9,37.6,46.5
13,ALTU,55,14.7,40.8,44.6
14,ALTU,70,15.4,40.7,43.9
85,BUFF,03,31.8,48.0,20.2
86,BUFF,20,24.8,53.1,22.1
87,BUFF,40,22.4,49.6,28.0
88,BUFF,55,22.1,45.3,32.6
89,BUFF,70,22.4,44.5,33.1
560,WEST,03,28.8,59.4,11.9
561,WEST,20,11.2,60.7,28.2
562,WEST,40,11.9,51.2,36.9
563,WEST,55,,,
564,WEST,70,,,
